S.No.,Name,Email,District,Address,Phone,Medium
970,G S JANGID TEACHER TRAINING COLLEGE FOR WOMEN,gsjangid2011@gmail.com,Jodhpur,", BUJAWAR ROAD, NEAR GANGANA VILLAGE, GANGANA VILLAGE, DOLI, DOLI, JODHPUR, RAJASTHAN",9251484443,Both (Hindi & English)
971,AMBIKA TEACHERS` TRAINING COLLEGE,ambikattcollege291@gmail.com,Jodhpur,"KHASRA NO. 379, GUDA VISHNOIYAN, JODHPUR, , GURA VISHNOIYAN, GURA VISHNOIYAN, JODHPUR, RAJASTHAN",9314794440,Both (Hindi & English)
972,VIDHYASHRAM INSTITUTE OF TEACHERS' TRAINING,vidhyashram.tt@gmail.com,Jodhpur,"VIDHYASHRAM INSTITUTE OF TEACHERS' TRAINING, OPP. ASHAPURNA TOWNSHIP UCHIYARDA JODHPUR (RAJ.), JODHDPUR, OPP. ASHAPURNA TOWNSHIP UCHIYARDA JODHPUR (RAJ.), NANDARA KALAN, UCHIYARDA, JODHPUR, RAJASTHAN",9667324368,Both (Hindi & English)
973,SHREE HARI KANYA MAHAVIDHYALAYA,shgcollegekotda@gmail.com,Jalore,", VILLAGE:- KOTDA, POST:- KARAWADA, GURUO KI DANI, KOTRA, KOTRA, JALORE, RAJASTHAN",9928730145,Both (Hindi & English)
974,HUA DEVI MANA RAM COLLEGE MALWARA,hmcollegemalwara@gmail.com,Jalore,", NEAR RAILWAY FATAK, MALWARA, , MALWARA, MALWARA, JALORE, RAJASTHAN",9783296781,Both (Hindi & English)
975,"SHRI RAGHUNATH BISHNOI MEMORIAL COLLEGE, RANIWARA",rvmcraniwara@gmail.com,Jalore,"SHRI RAGHUNATH BISHNOI NAGAR, BADGAON ROAD, RANIWARA, , RANIWARA KALAN, RANIWARA KALAN, JALORE, RAJASTHAN",9829814801,Both (Hindi & English)
976,"SADGURUDEV COLLEGE, RANIWARA (JALORE)",sadgurudevcollege@gmail.com,Jalore,", BADGAON ROAD, RANIWARA, , RANIWARA KALAN, RANIWARA KALAN, JALORE, RAJASTHAN",9660431158,Both (Hindi & English)
977,SARASWATI COLLEGE MOKHATRA (JALORE),omsaraswati2929@gmail.com,Jalore,", MOKHATRA , MOKHATRA , , KOTRA, MOKHATARA, JALORE, RAJASTHAN",9680310075,Both (Hindi & English)
978,"R.R. MAHAVIDYALAY, SEDWA - BARMER ",thakur.bjat@gmail.com,Barmer,"SEDWA - , SEDWA , SEDWA, CHOHTAN ROAD SEDWA, SERWA, SERWA, BARMER, RAJASTHAN",9587090498,Both (Hindi & English)
979,SHRI KANIRAM COLLEGE KEKAR,kaniramcollegekekar945@gmail.com,Barmer,"KEKAR, KEKAR, KEKAR, KEKARK, KEKAR, KEKAR, BARMER, RAJASTHAN",9829790945,Both (Hindi & English)
980,RAJESH,rajeshbishnoisiyak01@gmail.com,Barmer,"V/P SONARI, TEH. SEDWA, BARMER, SEDWA, SONARI, SONRI, BARMER, RAJASTHAN",9950831739,Both (Hindi & English)
981,SAYALA COLLEGE,sayalacollegesayala@gmail.com,Jalore,"BUILDING, SAYLA, SAYLA, , SAYLA, SAYLA, JALORE, RAJASTHAN",9602197691,Both (Hindi & English)
982,HILL GROVE COL'S ACADEMY COLLEGE OF HIGHER EDUCATION,suridahiya@gmail.com,Pali,"BEHIND MAHAVEER HOSPITAL, KOLIWARA ROAD, KOLIWARA, KOLIWARA ROAD, KOLIWARA, KOLIWARA, PALI, RAJASTHAN",9001447148,Both (Hindi & English)
983,"RAMDEO COLLEGE OF MANAGEMENT AND SCIENCE, NAYA GAON ROAD, PALI",kuldeepsinghchauhan605@gmail.com,Pali,"IST FLOOR CEDAR COMPLEX , NAYA GAON ROAD, ROHAT, NEAR BANGUR GOVT COLLEGE PALI, KHARDA, KHARDA, PALI, RAJASTHAN",9694497605,Both (Hindi & English)
984,SHRI MURLIDHAR MAHAVIDHYALAYA,smdcollegejetpur@gmail.com,Pali,"BALOTRA ROAD, RMGB KE SAMNE, JETPUR POST-GADHWARA, TEH-ROHAT, PALI, RMGB BANK, GARWARA, JAITPUR, PALI, RAJASTHAN",9461736412,Both (Hindi & English)
985,MAHILA VIDHI MAHAVIDHYALYA JODHPUR,prof.adbm.womenlawcollege@gmail.com,Jodhpur,", SOORSAGAR ROAD, KAMLA NEHRU NAGAR, , , , JODHPUR, RAJASTHAN",7597011481,Both (Hindi & English)
986,VYAS COLLEGE OF COMMERCE & BUSINESS ADMINISTRATION,khanmoin207@gmail.com,Jodhpur,"HO TEESRA PRAHAR BHAWAN, , 1ST 'A' ROAD, SARDARPURA, SARDARPURA, SARDARPURA, NONE, , JODHPUR, RAJASTHAN",9509200207,Both (Hindi & English)
987,BHARAT WOMEN B.ED COLLEGE,bharatspss1@gmail.com,Jodhpur,"1/158 , DIGARI KALLAN , JODHPUR, NEAR , WARD NO-57, , JODHPUR, RAJASTHAN",9414179977,Both (Hindi & English)
988,SUBHASH COLLEGE SINDHARI,subshashcollagesps@gmail.com,Barmer,"MEGHA HIYE SANCHOR ROAD SINDHARI, SINDHARI, SINDHARI, SINDHARI, SINDARI CHASEERA, SINDARI CHASEERA, BARMER, RAJASTHAN",9461080952,Both (Hindi & English)
989,"BALAJI MAHAVIDHYALAYA, SANPA ",balajimahavidhyalaya.sanpa@gmail.com,Barmer,", SANPA, SANPA MANJI, , SANPA MANJI, SANPA MANJI, BARMER, RAJASTHAN",9929339302,Both (Hindi & English)
990,"Swami Vivekanand T.T. College, Jhalawar",svttc_bwm@yahoo.in,Jhalawar,"Bhawani Mandi, Jhalawar, Rajasthan",(0743) 329-6152,Both (Hindi & English)
991,Mata Bhagwati Devi Dev Sanskriti Mahila Krishi Mahavidyalaya,mbddsmmvsiswali091@gmail.com,Baran,"Chungi Naka Siswali, Baran",,Both (Hindi & English)
992,Shrimati Govindi Devi Shariya  Rajkiya Shastri Sanskrit College Kaladera Jaipur Raj.,gds.govt@gmail.com,Jaipur,"RANWAL ROAD, KALADERA, BUS STAND , KALADERA, KALADERA, JAIPUR, RAJASTHAN",9982277300,Both (Hindi & English)
993,Jiwani Shiksha Shastri College,jsscaduka158@gmail.com,Jhunjhunu,"ADUKA, KHETRI ROAD, ADUKA, ADUKA, ADOOKA, ADOOKA, JHUNJHUNU, RAJASTHAN",8769544899,Both (Hindi & English)
994,Shri Ganesh College Of Education,college.shriganesh@gmail.com,Jhunjhunu,"KHASRA NO. 500 & 504, NARNAUL ROAD, V.P.O. CHURINA, TEHSIL: BUHANA, JHUNJHUNU, , DHANI BHALOTH, CHURINA, JHUNJHUNU, RAJASTHAN",7056012699,Both (Hindi & English)
995,Radhakrishnan Teachers Training College,jainvinod232@gmail.com,Sawai Madhopur,"OPPOSITE CENTRAL SCHOOL, THINGLA, WARD NO- 4, , SAWAI MADHOPUR, RAJASTHAN",9414328841,Both (Hindi & English)
996,"Pl Dubey Memorial Shiksha Shastri College Jagpura, Kota",jitendragupta2527@gmail.com,Kota,"NEAR OF POLICE CHOWKI, JAGPURA, JAGPURA, , , , KOTA, RAJASTHAN",9413651255,Both (Hindi & English)
997,Jawahar Lal Nehru Shiksha Shastri College,sanjayaudichya55@gmail.com,Kota,"JAWAHAR LAL NEHRU SHIKSHA SHASTRI COLLEGE, SAKATPURA, SAKATPURA, B.ED COLLEGE, WARD NO- 19, , KOTA, RAJASTHAN",9214338755,Both (Hindi & English)
998,"Govt. V.s.p. Acharya Sanskrit College, Kota",govt.sans.coll.kota@gmail.com,Kota,", TAGORE NAGAR, RAWATBHATA ROAD, , , , KOTA, RAJASTHAN",9660311715,Both (Hindi & English)
999,Late Kumari Laxmi Badhala Education And Research Institute,shastrishiksha1@gmail.com,Jaipur,", N.H.52, GOVINDGARH , NEAR STADIUM, GOVINDGARH, GOVINDGARH (CT), JAIPUR, RAJASTHAN",9829432168,Both (Hindi & English)
1000,Jagadguru Ramanandacharya Rajasthan Sanskrit University Study Campus,jrrsustudycampus@gmail.com,Jaipur,"JAGADGURU RAMANANDACHARYA RAJASTHAN SANSKRIT UNIVERSITY, MADAU, POST BHANKROTA, , , , JAIPUR, RAJASTHAN",9928700607,Both (Hindi & English)
1001,Govt. Acharya Sanskrit College Chirana,dr.sureshsharma60@gmail.com,Jhunjhunu,", LOHARGAL ROAD, CHIRANA, CHIRANA, CHIRANA, CHIRANA, JHUNJHUNU, RAJASTHAN",9460037194,Both (Hindi & English)
1002,Shri Bhanwar Shastri Sanskrit College Barigha Roopbas,sbsscollege1@gmail.com,Bharatpur,", VILLAGE BARIGHA, ROOPBAS, , BARIGHA, BARIGHA, BHARATPUR, RAJASTHAN",9521631551,Both (Hindi & English)
1003,S.k. Gov. Sanskrit College Sikar,cpchaitanya70@gmail.com,Sikar,", STATION ROAD SIKAR, KALYAN CIRCLE, , , , SIKAR, RAJASTHAN",9414742736,Both (Hindi & English)
1004,"Government Darbar Acharya Sanskrit College, Jodhpur",skt19796@gmail.com,Jodhpur,"NEAR HOTEL LAHARIYA, OPP SANSKAR SCHOOL, CHOPASANI HOUSING BOARD, , WARD NO-42, , JODHPUR, RAJASTHAN",9929005981,Both (Hindi & English)
1005,Govt Shastri Sanskrit College Peeth (dungarpur),gsscollegepeeth@gmail.com,Dungarpur,"GOVT SHASTRI SANSKRIT COLLEGE PEETH (DUNGARPUR), PEETH, SIMALWARA, 9, PEETH, PEETH, DUNGARPUR, RAJASTHAN",9982229765,Both (Hindi & English)
1006,Sambal College Of Education,sambalcollege@ymail.com,Sikar,", NAWALGARH ROAD, SHIVSINGHPURA, POST KUDLI, DISTRICT SIKAR, SHIVSINGHPURA, RAJASTHAN, , , SIKAR, RAJASTHAN",9414351788,Both (Hindi & English)
1007,Govt Sh K.s. Sans. College Talawgaon,sksscollegetalavgoan@gmail.com,Dausa," SHIVSINGHPURA, MAHARAJPURA, DAUSA, RAJASTHAN",9950617584,Both (Hindi & English)
1008,Mother India Shiksha Shastri Mahavidyalaya Khanpur,rawalmk2@gmail.com,Jhalawar,", MAGA HIGH WAY BY PASS , KHANPUR, , KHANPUR, KHANPUR, JHALAWAR, RAJASTHAN",9001401451,Both (Hindi & English)
1009,"Dadhimathi Mahila Shikshak Prashikshan Mahavidyalya,sriganganagar",dmttcollege@gmail.com,Sri Ganganagar,"PLOT NO.29, HANUMANGARH ROAD, WARD NO.32,HANUMAANGARH ROAD, , WARD NO- 32, , SRI GANGANAGAR, RAJASTHAN",9829595059,Both (Hindi & English)
1010,"Govt. Manpuriya Shastri Sanskrit College, Shrimadhopur",gmsscshrimadhopur@gmail.com,Sikar,", NEAR JEEN MATA TEMPLE, WARD NO 8, RAILWAY STATION ROAD, WARD NO- 8, , SIKAR, RAJASTHAN",9887559339,Both (Hindi & English)
1011,"Mahala Teachers Training Institute,reengus",reengusmtti@gmail.com,Sikar,"KHSRA NO.1504-05, KHATU SHYAMJI ROAD,REENGUS, REENGUS, KHATU SHYAMJI ROAD, WARD NO- 4, , SIKAR, RAJASTHAN",9636868683,Both (Hindi & English)
1012,Govt Shastri Sanskrit College Sarmathura,gsscsarmathura@gmail.com,Dhaulpur,", LANKA DANDA, SARMATHURA, , SARMATHURA, SARMATHURA (CT), DHAULPUR, RAJASTHAN",9414879208,Both (Hindi & English)
1013,"Arya Shikshak Prashikshan Mahavidyalaya- Daulatpura , Katrathal , Sikar",aryasikar232621@gmail.com,Sikar,"DAULATPURA, DAULATPURA, KATRATHAL, KATRATHAL, DAULATPURA, DAULATPURA, SIKAR, RAJASTHAN",9462057809,Both (Hindi & English)
1014,Shri Shraddhanath Teacher Education College,ssntodi101@gmail.com,Jhunjhunu,", BHORKI ROAD, GUDHA GORJI, , GUDHA GORJI, GUDHA GORJI, JHUNJHUNU, RAJASTHAN",9785917250,Both (Hindi & English)
1015,Smt.mohari Devi Taparia Siksha Sashtri College,smdt.jwg2008@gmail.com,Nagaur,", DABRI ROAD, MAIN MARKET, RAJASTHAN, JASWANT GARH, JASWANT GARH, NAGAUR, RAJASTHAN",8058600075,Both (Hindi & English)
1016,St.surajmal Taparia Acharya Sanskrit College,stsm.jwg1985@gmail.com,Nagaur,", ST.SH.SURAJMAL TAPARIA ACHARYA SANSKRIT COLLEGE, JASWANTGARH, MAIN MARKET, JASWANT GARH, JASWANT GARH, NAGAUR, RAJASTHAN",8058600075,Both (Hindi & English)
1017,Sunder Shiksha Shastri Mahavidhlaya Mahapura,sunderettcollege@gmail.com,Jaipur,"01, AJMER ROAD JAIPUR , MAHAPURA , NEAR BANK OF BARODA, WARD NO-56, , JAIPUR, RAJASTHAN",9782313232,Both (Hindi & English)
1018,"Sanskar Bharti T.t. College, Bagru Jaipur",sanskarbedcollege@gmail.com,Jaipur,"N.H. 8, BAGRU, , N.H. 8, BAGRU, , BAGRU, , WARD NO- 25, , JAIPUR, RAJASTHAN",9314623753,Both (Hindi & English)
1019,Dev Shikshak Prashikshan Mahavidyalaya(shiksha Shashtri) Tonk,dspmstonk@gmail.com,Tonk,", MODI KI CHOKI, CIVIL LINE TONK, , , , TONK, RAJASTHAN",8947829960,Both (Hindi & English)
1020,Vardhman Teacher Training College,kryadav1984@gmail.com,Tonk,"NEAR TEAGOR SCHOOL, CIVILLINE , NEAR CIRCUIT HOUSE, CRICUIT HOUSE, WARD NO- 7, , TONK, RAJASTHAN",9828666884,Both (Hindi & English)
1021,P.g.r.memorial Shiksha Shastari College Bissau,pgrmssc@gmail.com,Jhunjhunu,"NEAR POLICE STATION, JHUNJHUNU ROAD, BISSAU, , WARD NO- 13, , JHUNJHUNU, RAJASTHAN",9829607433,Both (Hindi & English)
1022,Mewar Shikshak Prashikshan Shiksha Shastri Mahavidhyalaya,mewarbedcollege@gmail.com,Udaipur,"E BLOCK SECTOR 14 , HIRAN MAGRI, HIRAN MAGRI SECTOR 14, OPP. RANGILA HANUMAN TEMPLE, SAWEENA KHERA (RURAL), SAWEENA KHERA (RURAL), UDAIPUR, RAJASTHAN",9460632738,Both (Hindi & English)
1023,Government Maharana Acharya Sanskrit College Udaipur Rajasthan,rmascudaipur@gmail.com,Udaipur,"GOVT.MAHARANA ACHARYA SANSKRIT COLLEGE, CHANDPOLE, CHANDPOLE, CHANDPOLE OUTSIDE, WARD NO- 5, , UDAIPUR, RAJASTHAN",9549499822,Both (Hindi & English)
1024,"Nimbark Teachers Training College, Udaipur",nimbarkcollege@gmail.com,Udaipur,"OUTSIDE SURAJPOLE, UDAIPUR , OPP. CHAMPALAL DHARAMSHALA, SURAJPOLE, UDAIPUR, NEAR FATEH SCHOOL, UDAIPUR , WARD NO-48, , UDAIPUR, RAJASTHAN",9784780363,Both (Hindi & English)
1025,"Shri Govardhan Sanskrit College, Khadagada",sgsckhadagada1933@gmail.com,Dungarpur,"KHADAGADA, BUS STAND KHADAGADA, KHADAGADA, , KHARGADA, KHARGADA, DUNGARPUR, RAJASTHAN",9680077977,Both (Hindi & English)
1026,Pragya Mahila Shikshak Prashikshan Mahavidhyala Jagatpura Jaipur,pragyamahilattcollege@gmail.com,Jaipur,", ASHOK VIHAR , NEAR NATIONAL SR. SEC. SCHOOL  , JAGATPURA , NATIONAL SR SEC SCHOOL, , , JAIPUR, RAJASTHAN",9829149776,Both (Hindi & English)
1027,"Shri Ramjilal Smriti Shiksha Mahavidyalaya, Vill.-pawaliya, Sanganer, Jaipur",ifo@srssm.com,Jaipur,"122, VILL.-PANWALIYA, SANGANER, , , , JAIPUR, RAJASTHAN",9828167301,Both (Hindi & English)
1028,Khoj T.t. College,mahendrameena088@gmail.com,Jaipur,"VILLAGE & POST VIDHANI , GONER ROAD , SANGANER , MAHATAMA GANDHI HOSPITAL SITAPURA IND. AREA, , , JAIPUR, RAJASTHAN",9829523344,Both (Hindi & English)
1029,Smt. Lad Devi Sharma Panccholi Adarsh Sanskrit College,satpathy2005@gmail.com,Bhilwara,", BARUNDANI CHURAHA, BARUNDANI, , BAROONDNI, BAROONDNI, BHILWARA, RAJASTHAN",9982102753,Both (Hindi & English)
1030,"Govt. Shastri Sanskrit College, Chechat Kota",gssc.chechat@gmail.com,Kota,"CHECHAT, CHECHAT, CHECHAT, CHECHAT, CHECHAT (CT), CHECHAT (CT), KOTA, RAJASTHAN",9460492877,Both (Hindi & English)
1031,Seema Shiksha Shastri B.ed College Parbatsar,sssbcparbatsar2008@gmail.com,Nagaur,"1291/1AJMER ROAD PARBATSAR, 1291/1AJMER ROAD PARBATSAR, NEAR FCI GODAWAN , , ROONIJA, ROONIJA, NAGAUR, RAJASTHAN",9983500827,Both (Hindi & English)
1032,Times Shiksha Shastri Mahavidhyalya,tmsmhmo@gmail.com,Hanumangarh,"22, GAUSHALA ROAD, HANUMANGARH, RAJASTHAN, AMARPURA THEDI, 10 HMH, HANUMANGARH, RAJASTHAN",9413105029,Both (Hindi & English)
1033,Rajasthan Shiksha Mahavidyalaya,rsmjaipur1967@gmail.com,Jaipur,"SAMRAT JI KA BAGH, PANDIT RAMJILAL SHASTRI MARG, SITARAM BAZAR, BRAHMPURI, NEAR SAMRAT GATE, WARD NO-84, , JAIPUR, RAJASTHAN",9649354455,Both (Hindi & English)
1034,Shree Aanasagar B.ed Girls  ( Shiksha Shastri ) College Rangbadi Road  Kota,preetiaanasagar@gmail.com,Kota,"RANGBADI ROAD KOTA, RANGBADI ROAD KOTA, RANGBADI ROAD , KOTA, WARD NO- 8, , KOTA, RAJASTHAN",8619126873,Both (Hindi & English)
1035,Karuna Shikshak Prashikshan Shiksha Shastri Mahavidyalya,anugarg60@gmail.com,Hanumangarh,"2NWN, 2NWN, BY PASS ROAD NEAR NAWAN RAILWAY CROSSING, HANUMANGARH JUNCTION, BY PASS ROAD, NEAR NAWAN RAILWAY CROSSING, , , , , HANUMANGARH, RAJASTHAN",7597482091,Both (Hindi & English)
1036,A.N. Shiksha Shastri College,anshcollegesikar12@gmail.com,Sikar,"RAMU KA BAS,  SIKAR, RAJASTHAN",(9950) 207-402_,Both (Hindi & English)
1037,Ambika Shikshak Prashikhsan Mahavidyalay Malsisar Jhunjhunu,ambikattcollege@gmail.com,Jhunjhunu,"WARD NO 13, NEAR GOUSHALA, NEAR GOUSHALA, , MALSISAR, MALSISAR, JHUNJHUNU, RAJASTHAN",9610126952,Both (Hindi & English)
1038,Vardhaman Shiksha Shastri T.t. College Gokulpura,g9461184511@gmail.com,Sikar,", JAIPUR BIKANER BYEPASS ROAD, GOKULPURA, SIKAR, GOKULPURA, GOKULPURA, SIKAR, RAJASTHAN",8104132197,Both (Hindi & English)
1039,"Vishwa Bharti Shiksha Shastri College, Sikar",sblsaini0@gmail.com,Sikar,"NEAR CIRCUIT HOUSE, JAIPUR ROAD, GOKULPURA, SIKAR, GOKULPURA, GOKULPURA, SIKAR, RAJASTHAN",9983962230,Both (Hindi & English)
1040,Shri Dadu Acharya Sanskrit College,jrrsu@yahoo.com,Jaipur,", MOTI DUNGARI ROAD, GANESH NAGAR, NEAR GANESH TEMPLE MOTI DUNGRI, WARD NO-60, , JAIPUR, RAJASTHAN",9928700607,Both (Hindi & English)
1041,Govt.maharaj Acharya Sanskrit College,maharaj.college@gmail.com,Jaipur,"GANDHI NAGAR, GANDHI NAGAR MODE, JAIPUR, NEAR GANDHI CIRCLE, WARD NO-55, , JAIPUR, RAJASTHAN",9460762050,Both (Hindi & English)
1042,"Rajasthan Shishak Prashikshan Vidyapeeth, Shahpura Bag Aamer Road Jaipur",bhishmraj.72@gmail.com,Jaipur,"SHAHPURA BAG, AAMER ROAD , NEAR TRIDENT HOTEL, JAL MAHAL, JAL MAHAL, WARD NO-75, , JAIPUR, RAJASTHAN",8432072668,Both (Hindi & English)
1043,Sanjay Teacher's Training College,principalsttc15@gmail.com,Jaipur,"LAL KOTHI SCHEME , OPPOSITE NEW ASSEMBLY, TONK ROAD, LAL KOTHI, WARD NO-45, , JAIPUR, RAJASTHAN",9829984550,Both (Hindi & English)
1044,"Prachya Vidyapeeth Aacharya Mahavidyalay, Shahpura Bag, Aamer Road, Jaipur",ramnivasverma0786@gmail.com,Jaipur,", AMER ROAD, PRACHYA VIDYAPEETH AACHARYA MAHAVIDYALAY, NEAR JAL MAHAL, WARD NO-75, , JAIPUR, RAJASTHAN",9660638839,Both (Hindi & English)
1045,Shri Arjunram Shikshak Prashikshan Mhavidhalay,arjunsscollege@gmail.com,Sikar,"PURA KI DHANI, PURA KI DHANI, DHOND, NH-11 LAXMANGARH ROAD, BHAIROOPURA, POORA KI DHANI, SIKAR, RAJASTHAN",9460838852,Both (Hindi & English)
1046,Govt. Shree Eklingnath Acharya Sanskrit College Ganoda,scollegeganoda@gmail.com,Banswara,"BANSWARA UDAIPUR ROAD GANODA , TEH. GANODA, GANODA, OLD BUSS STAND GANODA, GANORA, GANORA, BANSWARA, RAJASTHAN",9460583025,Both (Hindi & English)
1047,Shri Rana Shiksha Shastri College,srsscborawar@gmail.com,Nagaur,", GANESH DUNGRI ROAD, GANESH DUNGRI ROAD BORAWAR, BORAWAR, BORAWAR (CT), BORAWAR (CT), NAGAUR, RAJASTHAN",9799339014,Both (Hindi & English)
1048,Vijaya Raje Mahila Shiksha Shastri College,js258428@gmail.com,Jhalawar,"WARD 15, SALPURA ROAD, BARAN ROAD, GANESH MADIR ROAD, WARD NO- 15, , JHALAWAR, RAJASTHAN",9928345486,Both (Hindi & English)
1049,"Shri Digamber Jain Adarsh Mahila Sanskrit P.g. College, Shrimahaveerji",khatana.samaysingh@gmail.com,Karauli,", BANWARIPUR MODE, SHRIMAHAVEERJI, SHRIMAHAVEERJI, , SHRI MAHAVEER JEE, NORANGABAD, KARAULI, RAJASTHAN",9414912131,Both (Hindi & English)
1050,Shree Nath Shikshak Prashikshan Shiksha Shastri College,snss.barisadri@gmail.com,Chittorgarh,", VIANAYAK ROAD, BARISADRI, VINAYAKA ROAD, RLY GANG HUT, WARD NO- 2, , CHITTORGARH, RAJASTHAN",9950514073,Both (Hindi & English)
1051,"Shri Digamber Jain Adarsh Mahila Teacher Training College, Shrimahaveerji",khatana.samaysingh1@gmail.com,Karauli,", BANWARIPUR MODE, SHRIMAHAVEERJI, SHRIMAHAVEERJI, , SHRI MAHAVEER JEE, NORANGABAD, KARAULI, RAJASTHAN",9414912131,Both (Hindi & English)
1052,Shree Parshuram Shastri Sanskrit College Gangapur City,shreeparshuramcollege@gmail.com,Sawai Madhopur,"DASHAHARA MAIDAN, GANGAPUR CITY, GANGAPUR CITY, , WARD NO- 27, , SAWAI MADHOPUR, RAJASTHAN",7220047324,Both (Hindi & English)
1053,"Chhoti Devi Memorial B.ed College,didwana (shiksha Shastri)",cdmdidwana3@gmail.com,Nagaur,", LADNUN ROAD, DIDWANA,  NAGAUR, RAJASTHAN",7597645711,Both (Hindi & English)
1054,Govt. Shastri Sanskrit College Bonli,gsscollegebonli@gmail.com,Sawai Madhopur,"BONLI, BHEDOLI ROAD, BONLI, BHEDOLI ROAD , BONLI, KASBA BONLI (CT), SAWAI MADHOPUR, RAJASTHAN",8432819604,Both (Hindi & English)
1055,"Maharshi Mahila Teachers' Training Collece, Kankroli",mmttkankroli@gmail.com,Rajsamand,"IN FRONT OF MARUTI SHOWROOM, BHILWARA ROAD, BHAWA, , BHAWA, BHAWA, RAJSAMAND, RAJASTHAN",9929607862,Both (Hindi & English)
1056,Birbal Memorial Tt College,bmttcollegejrr@gmail.com,Alwar,", NARAYANPUR ROAD BANSUR, BANSUR, , KASBA BANSUR, KASBA BANSUR, ALWAR, RAJASTHAN",9929169415,Both (Hindi & English)
1057,Shree Santhan Dhram Shastri Sanskrit College Lalsot,sanskritcollegelalsot@gmail.com,Dausa,", PULICE THANE KE SAMNE, LALSOT, DAUSA, RAJASTHAN",9660474578,Both (Hindi & English)
1058,Deepshikha T.t. College(shiksha Shastri),deepshikhasscollege@gmail.com,Jaipur,"ISI-17,RIICO INSTITUTIONAL AREA SITAPURA JAIPUR, SITAPURA, BEHIND MAHATAMA GANDHI HOSPITAL, SITAPURA, WARD NO- 31, , JAIPUR, RAJASTHAN",9414419241,Both (Hindi & English)
1059,Akashdeep Teachers Traning Girls College,attgcjaipur@gmail.com,Jaipur,"SECTOR 11 AGARWAL FARM, AGARWAL FARM, MANSAROVER, THADI MARKET, WARD NO- 27, , JAIPUR, RAJASTHAN",9929999928,Both (Hindi & English)
1060,Geeta Co. Education T.t. College . New Gharsana,satpal.swami71@gmail.com,Sri Ganganagar,"WARD NO-16, NEW GHARSANA , KUPALI ROAD , , 24AS-C (NAI GHARSANA MANDI), 24 AS-C (CT), SRI GANGANAGAR, RAJASTHAN",9414760599,Both (Hindi & English)
1061,Shri Raghunath Shiksha Shastri Shikshak Prashikshan Mahavidyalaya Dantaramgarh,shriraghunaths.s.t.t.clg@gmail.com,Sikar,"WARD NO 02, NAWA ROAD, NAWA ROAD, DANTARAMGARH, RAMGARH, RAMGARH (CT) WARD NO.-0001, SIKAR, RAJASTHAN",9928191398,Both (Hindi & English)
1062,Varda College Of Education,vardacollege.nkt@gmail.com,Sikar,", NEEM KA THANA, NEEM KA THANA,WARD NO- 5, , SIKAR, RAJASTHAN",9672995992,Both (Hindi & English)
1063,Late Shri Ram Bharose Lal Varma Govt.achaarya Sanskrit College,gascbpr@gmail.com,Bharatpur,", JAMA MASJID KE PASS, BHARATPUR, BHARATPUR, RAJASTHAN",8058450341,Both (Hindi & English)
1064,Shri Shyam Shiksha Shastri Mahavidyalya,vermahappy5585@gmail.com,Hanumangarh,"7-BHD,NOHAR BYPASS,BHADRA, NOHAR ROAD,BHADRA, BHADRA, NOHAR BYPASS, NONE, , HANUMANGARH, RAJASTHAN",9887034823,Both (Hindi & English)
1065,Princess T.t College,princessttcollege@gmail.com,Jaipur,", OPPOSITE RADHA SWAMI BAGH, CHOMU, BEHIND BARALA HOSPITAL, JAITPURA, JAITPURA, JAIPUR, RAJASTHAN",9928094355,Both (Hindi & English)
1066,Smt. Ramkumari Shiksha Shastri T.t. College,profskaran@gmail.com,Jhunjhunu,"RANI SATI ROAD, MUKUNDGARH MANDI, MUKUNDGARH, RANI SATI ROAD, MUKUNDGARH MANDI, WARD NO- 8, , JHUNJHUNU, RAJASTHAN",9530082140,Both (Hindi & English)
1067,"Shri Sita Ram Modi Govt.shastri Sanskrit College,neem Ka Thana",sanskritcollegenkt@gmail.com,Sikar,"SHRI SITA RAM MODI GOVT.SHASTRI SANSKRIT COLLEGE,, KOTPUTLI ROAD, CHHAWANI,, , WARD NO- 23, , SIKAR, RAJASTHAN",9982167060,Both (Hindi & English)
1068,Aravali College Of Education,aravalimanoj6@gmail.com,Sikar,"SP - 1, RIICO INDUSTRIAL AREA, NEEM-KA-THANA, , , , SIKAR, RAJASTHAN",9950694818,Both (Hindi & English)
1069,Govt. Shashtri Sanskrit College Mahapura Jaipur,sunil7207@gmail.com,Jaipur,"COLLEGE , AJMER ROAD , MAHAPURA , MAHAPURA , , , JAIPUR, RAJASTHAN",9352850127,Both (Hindi & English)
1070,Seth  Ganeshram Parwal Govt Girls Shastri Sanskrit College Chak Dantaramgarh Sika,chakprincipal@gmail.com,Sikar,"CHAK, CHAK, DANTARAMGARH, KULI ROAD, CHAK, CHAK, SIKAR, RAJASTHAN",9928369116,Both (Hindi & English)
1071,Govt Dhuleswar Aacharya Sanskrit College Manoharpur Jaipur,govtdhulsco1970@gmail.com,Jaipur,"OLD SADAK, OLD SADAK ., MANOHARPUR, , MANOHARPUR, MANOHARPUR (CT), JAIPUR, RAJASTHAN",9602391469,Both (Hindi & English)
1072,Nehru Sanskrit College,nehrusscollege@gmail.com,Dausa,", 14, MANDAWAR, MANDAWAR, NONE,  DAUSA, RAJASTHAN",9772545454,Both (Hindi & English)
